2025-03-29 15:44:18,181 INFO    Thread-16 (process_request_thread):12704 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-29 15:44:18,182 INFO    Thread-16 (process_request_thread):12704 [wandb_setup.py:_flush():67] Configure stats pid to 12704
2025-03-29 15:44:18,182 INFO    Thread-16 (process_request_thread):12704 [wandb_setup.py:_flush():67] Loading settings from C:\Users\hp\.config\wandb\settings
2025-03-29 15:44:18,182 INFO    Thread-16 (process_request_thread):12704 [wandb_setup.py:_flush():67] Loading settings from C:\binary-hackathon\wandb\settings
2025-03-29 15:44:18,182 INFO    Thread-16 (process_request_thread):12704 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-29 15:44:18,183 INFO    Thread-16 (process_request_thread):12704 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\binary-hackathon\wandb\run-20250329_154418-bnkmq7hh\logs\debug.log
2025-03-29 15:44:18,183 INFO    Thread-16 (process_request_thread):12704 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\binary-hackathon\wandb\run-20250329_154418-bnkmq7hh\logs\debug-internal.log
2025-03-29 15:44:18,184 INFO    Thread-16 (process_request_thread):12704 [wandb_init.py:init():761] calling init triggers
2025-03-29 15:44:18,184 INFO    Thread-16 (process_request_thread):12704 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-29 15:44:18,184 INFO    Thread-16 (process_request_thread):12704 [wandb_init.py:init():784] starting backend
2025-03-29 15:44:18,184 INFO    Thread-16 (process_request_thread):12704 [wandb_init.py:init():788] sending inform_init request
2025-03-29 15:44:18,199 INFO    Thread-16 (process_request_thread):12704 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-29 15:44:18,199 INFO    Thread-16 (process_request_thread):12704 [wandb_init.py:init():798] backend started and connected
2025-03-29 15:44:18,201 INFO    Thread-16 (process_request_thread):12704 [wandb_init.py:init():891] updated telemetry
2025-03-29 15:44:18,203 INFO    Thread-16 (process_request_thread):12704 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-29 15:44:19,858 INFO    Thread-16 (process_request_thread):12704 [wandb_init.py:init():990] starting run threads in backend
2025-03-29 15:44:19,986 INFO    Thread-16 (process_request_thread):12704 [wandb_run.py:_console_start():2375] atexit reg
2025-03-29 15:44:19,986 INFO    Thread-16 (process_request_thread):12704 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-29 15:44:19,987 INFO    Thread-16 (process_request_thread):12704 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-29 15:44:19,987 INFO    Thread-16 (process_request_thread):12704 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-29 15:44:19,991 INFO    Thread-16 (process_request_thread):12704 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-29 15:44:28,111 INFO    Thread-16 (process_request_thread):12704 [wandb_run.py:_finish():2112] finishing run piyushmondal182004-none/dyslexia-app/bnkmq7hh
2025-03-29 15:44:28,111 INFO    Thread-16 (process_request_thread):12704 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-29 15:44:28,111 INFO    Thread-16 (process_request_thread):12704 [wandb_run.py:_restore():2322] restore
2025-03-29 15:44:28,112 INFO    Thread-16 (process_request_thread):12704 [wandb_run.py:_restore():2328] restore done
2025-03-29 15:44:33,527 INFO    Thread-16 (process_request_thread):12704 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-29 15:44:33,527 INFO    Thread-16 (process_request_thread):12704 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-29 15:44:33,527 INFO    Thread-16 (process_request_thread):12704 [wandb_run.py:_footer_sync_info():3917] logging synced files
